id_species,name_species,id_photo,slug,common_names_en,common_names_de,common_names_es,common_names_fr,scientific_name,taxonomy,id_category,tags
lithobates-sylvaticus,Wood Frog,khm-20150419-1909-1429456177,wood-frog,Wood Frog,Waldfrosch,Rana de bosque,Grenouille des bois,Lithobates sylvaticus,Anura|Ranidae,amphibians,"amphibians, frogs"
lophodytes-cucullatus,Hooded Merganser,khm-20170305-2128-1488731325,hooded-merganser,Hooded Merganser,Kappensäger,"Serreta capuchona, Pato de Cresta",Harle couronné,Lophodytes cucullatus,Anseriformes|Anatidae,birds,"birds, ducks"
marmota-monax,Groundhog,khm-20140711-2004-1405094686,groundhog,Groundhog,Waldmurmeltier,Marmota canadiense,Marmotte commune,Marmota monax,Rodentia|Sciuridae,mammals,"mammals, rodents"
megaceryle-alcyon,Belted Kingfisher,khm-20180923-1653-1537707211,belted-kingfisher,Belted Kingfisher,Gürtelfischer,Martín gigante norteamericano,Martin-pêcheur d'Amérique,Megaceryle alcyon,Coraciiformes|Alcedinidae,birds,"birds, kingfisher"
megaptera-novaeangliae,Humpback Whale,khm-20210823-1247-0000104596,humpback-whale,Humpback Whale,Buckelwal,Gubarta,Baleine à Bosse,Megaptera novaeangliae,Artiodactyla|Cetacea|Balaenopteridae,mammals,"marine mammals, whales"
megascops-asio,Eastern Screech-Owl,khm-20160313-1648-1457873333,eastern-screech-owl,Eastern Screech-Owl,Ost-Kreischeule,Autillo yanqui,Petit-duc Maculé,Megascops asio,Strigiformes|Strigidae,birds,"birds, raptors"
melanitta-americana,"Black Scoter, American Scoter",khm-20180520-1904-1526828684,black-scoter,"Black Scoter, American Scoter",Melanitta americana,Negrón americano,"Macreuse noire, Macreuse américaine",Melanitta americana,Anseriformes|Anatidae,birds,"birds, ducks"
melanitta-perspicillata,Surf Scoter,khm-20180521-1746-1526910392,surf-scoter,Surf Scoter,Brillenente,Negrón costero,"Macreuse à front blanc, Macreuse à lunettes",Melanitta perspicillata,Anseriformes|Anatidae,birds,"birds, ducks"
meleagris-gallopavo,Wild Turkey,khm-20220305-1637-0000177070,wild-turkey,Wild Turkey,Truthuhn,Pavo Salvaje,Dindon Sauvage,Meleagris gallopavo,Galliformes|Phasianidae,birds,"birds, hen-like"
melospiza-melodia,Song Sparrow,khm-20160417-1934-1460907274,song-sparrow,Song Sparrow,Singammer,Gorrión melódico,Bruant chanteur,Melospiza melodia,Passeriformes|Passerellidae,birds,"birds, sparrows"
mergus-merganser,Common merganser,khm-20160319-1621-1458390099,common-merganser,Common merganser,Gänsesäger,Serreta grande,Harle bièvre,Mergus merganser,Anseriformes|Anatidae,birds,"birds, ducks"
mergus-serrator,Red-breasted merganser,khm-20160417-1844-1460904290,red-breasted-merganser,Red-breasted merganser,Mittelsäger,Serreta mediana,Harle huppé,Mergus serrator,Anseriformes|Anatidae,birds,"birds, ducks"
microtus-pennsylvanicus,Meadow Vole,khm-20180422-1658-1524401905,meadow-vole,Meadow Vole,Wiesenwühlmaus,Microtus pennsylvanicus,Campagnol des prés,Microtus pennsylvanicus,Rodentia|Cricetidae|Arvicolinae,mammals,"mammals, rodents"
mniotilta-varia,Black-and-White Warbler,khm-20180521-1122-1526887332,black-and-white-warbler,Black-and-White Warbler,Baumläuferwaldsänger,Chipe trepador,Paruline noir et blanc,Mniotilta varia,Passeriformes|Parulidae,birds,"birds, warblers"
molothrus-ater,Brown-headed Cowbird,khm-20190422-1215-1555920956,brown-headed-cowbird,Brown-headed Cowbird,Braunkopf-Kuhstärling,Tordo cabecicafé,Vacher à tête brune,Molothrus ater,Passeriformes|Icteridae,birds,"birds, cowbird"
morus-bassanus,Northern Gannet,khm-20170814-1411-1502705507,northern-gannet,Northern Gannet,Basstölpel,"Alcatraz común, Alcatraz atlántico",Fou de Bassan,Morus bassanus,Suliformes|Sulidae,birds,"birds, shorebirds"
myiarchus-crinitus,Great Crested Flycatcher,khm-20180529-2216-1527617808,great-crested-flycatcher,Great Crested Flycatcher,Schnäppertyrann,Copetón viajero,Tyran huppé,Myiarchus crinitus,Passeriformes|Tyrannidae,birds,"birds, flycatchers"
